TinhTrangBDS,PhongNgu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,CanGoc,DienTich_m2,Gia,Quan,Gia_m2,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Log_Gia
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,86.0,4.3,Quận Bình Thạnh,0.049999999999999996,5.0,21.5,1.0,1.667706820558076
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,52.0,1.655,Khác,0.03182692307692308,2.0,26.0,0.5,0.9764446546939022
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản,Khác,Khác,Phải,106.0,3.9,Khác,0.03679245283018868,4.0,35.333333333333336,0.6666666666666666,1.589235205116581
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Đã có sổ,Đầy đủ,Khác,Khác,KXĐ,40.0,0.8,Quận Bình Tân,0.02,2.0,20.0,0.5,0.5877866649021191
 Đã bàn giao,3.0,3.0,Loại Hạng Sang, Đã có sổ,Đầy đủ,Khác,Khác,KXĐ,99.0,3.0,Huyện Nhà Bè,0.030303030303030304,6.0,24.75,0.75,1.3862943611198906
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Đầy đủ, Đông Bắc, Tây Bắc,KXĐ,88.0,2.398,Thành phố Thủ Đức,0.02725,4.0,29.333333333333332,0.6666666666666666,1.2231870232497404
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Đầy đủ,Khác,Khác,KXĐ,69.0,3.88,Quận Phú Nhuận,0.05623188405797101,4.0,23.0,0.6666666666666666,1.5851452198650557
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Nam, Tây Bắc,KXĐ,59.0,2.25,Thành phố Thủ Đức,0.038135593220338986,3.0,19.666666666666668,1.0,1.1786549963416462
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Đầy đủ,Khác,Khác,KXĐ,80.0,1.65,Khác,0.020624999999999998,4.0,26.666666666666668,0.6666666666666666,0.9745596399981308
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ,Khác, Đông Nam,Phải,58.0,1.3,Thành phố Thủ Đức,0.022413793103448276,4.0,19.333333333333332,0.6666666666666666,0.832909122935104
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản, Nam, Bắc,Phải,64.0,1.72,Quận Bình Tân,0.026875,4.0,21.333333333333332,0.6666666666666666,1.000631880307906
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,53.0,1.5,Thành phố Thủ Đức,0.02830188679245283,3.0,17.666666666666668,1.0,0.9162907318741551
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản, Đông Nam, Đông,KXĐ,62.0,1.8,Thành phố Thủ Đức,0.02903225806451613,4.0,20.666666666666668,0.6666666666666666,1.0296194171811581
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,73.0,1.95,Khác,0.026712328767123285,5.0,18.25,1.0,1.0818051703517284
